,class1_IoU,class2_IoU,mIoU
180,0.6299969942891493,0.8651758374315672,0.7475864158603582
181,0.5873511060692003,0.860280546327058,0.7238158261981291
182,0.5438066465256798,0.8477447947924842,0.695775720659082
183,0.5722313275579489,0.84915047404487,0.7106909008014095
184,0.6259086188992731,0.8562611053960535,0.7410848621476633
185,0.6514386673397274,0.8706129107434164,0.7610257890415719
186,0.6030259365994236,0.8369524870081663,0.7199892118037949
187,0.5709401709401709,0.8268367919237241,0.6988884814319475
188,0.510543580131209,0.824115298113554,0.6673294391223815
189,0.5555555555555556,0.8271571298819255,0.6913563427187406
190,0.524155722326454,0.8262555307211604,0.6752056265238072
191,0.5554417413572343,0.8317181830707757,0.6935799622140051
192,0.5205910852713178,0.8276050439295307,0.6740980646004242
193,0.5911358966832991,0.8628665840561751,0.7270012403697371
194,0.4507897934386391,0.8465114179980142,0.6486506057183267
195,0.42536327608982827,0.8352209638019098,0.6302921199458691
196,0.463112213267204,0.8440126525079078,0.6535624328875559
197,0.512812782634911,0.8434837774152619,0.6781482800250864
198,0.5821656050955414,0.861059076163933,0.7216123406297372
199,0.5114439107092399,0.8278251356156265,0.6696345231624332
200,0.5791195716835217,0.8465591348153626,0.7128393532494421
201,0.6252184041933605,0.8519265968930398,0.7385725005432002
202,0.545879458794588,0.8290201593999063,0.6874498090972472
203,0.6355359765051395,0.8503955771613764,0.7429657768332579
204,0.6232050545663412,0.8585940095884559,0.7408995320773986
205,0.5964179104477612,0.8555613626645128,0.7259896365561369
206,0.49194805194805197,0.817583562162674,0.654765807055363
207,0.5226103438938532,0.8341400911161732,0.6783752175050132
208,0.6157994923857868,0.8565035096810666,0.7361515010334267
209,0.6257833482542524,0.8406252933996807,0.7332043208269665
210,0.6009459060005912,0.8529175145520799,0.7269317102763355
211,0.567283950617284,0.8434315100514259,0.705357730334355
212,0.5657370517928287,0.8530534351145038,0.7093952434536663
213,0.5087209302325582,0.8346924671734623,0.6717066987030103
214,0.5394789579158317,0.8437971557913028,0.6916380568535672
